data_path,routine,P,R,F1,S,shd,time,CIT
../data/andes/data_1000.csv,PC,0.19230769230769232,0.029585798816568046,0.05128205128205127,0.3076923076923077,354,35.492318868637085,24090
../data/diabetes/data_1000.csv,PC,0.16153846153846155,0.03488372093023256,0.05737704918032787,0.4,651,192.9926154613495,85078
../data/link/data_1000.csv,PC,0.2421875,0.027555555555555555,0.04948124501197127,0.4140625,1167,723.5871396064758,254541
../data/munin/data_1000.csv,PC,0.2540983606557377,0.11095204008589836,0.15445939212755358,0.4360655737704918,1612,2382.9377319812775,541320
../data/ER-gauss-1000-400-800/0/data.csv,PC,0.14166666666666666,0.02125,0.036956521739130443,0.43333333333333335,851,16.630640029907227,79800
../data/ER-gauss-1000-400-800/1/data.csv,PC,0.13274336283185842,0.01875,0.03285870755750274,0.504424778761062,852,16.54205560684204,79800
../data/ER-gauss-1000-400-800/2/data.csv,PC,0.11607142857142858,0.01625,0.02850877192982456,0.49107142857142855,855,16.490092992782593,79800
../data/ER-gauss-1000-400-800/0/data.csv,ICALiNGAM,0.3269230769230769,0.02125,0.03990610328638498,0.6346153846153846,816,18.477853298187256,79800
../data/ER-gauss-1000-400-800/1/data.csv,ICALiNGAM,0.18867924528301888,0.0125,0.023446658851113716,0.6981132075471698,827,17.853649616241455,79800
../data/ER-gauss-1000-400-800/2/data.csv,ICALiNGAM,0.225,0.01125,0.02142857142857143,0.7,819,18.16096568107605,79800
../data/ER-gauss-1000-400-800/0/data.csv,GOLEM,0.19480519480519481,0.01875,0.03420752565564424,0.7792207792207793,845,333.6931369304657,79800
../data/ER-gauss-1000-400-800/1/data.csv,GOLEM,0.22857142857142856,0.02,0.036781609195402305,0.7428571428571429,836,317.46058177948,79800
../data/ER-gauss-1000-400-800/2/data.csv,GOLEM,0.2545454545454545,0.0175,0.0327485380116959,0.7454545454545455,827,303.30237007141113,79800
../data/ER-gauss-1000-400-800/0/data.csv,GraNDAG,0.2833333333333333,0.02125,0.03953488372093024,0.7166666666666667,826,368.3500852584839,79800
../data/ER-gauss-1000-400-800/1/data.csv,GraNDAG,0.24,0.015,0.028235294117647056,0.72,824,347.13549733161926,79800
../data/ER-gauss-1000-400-800/2/data.csv,GraNDAG,0.3055555555555556,0.01375,0.026315789473684213,0.6944444444444444,814,346.95382857322693,79800
